CÌ_digo.do.MunicÌ_pio,MunicÌ_pio,Estado,Ano.de.ReferÌ»ncia,Prestadores,ServiÌ_os,IN015_AE...Ìçndice.de.coleta.de.esgoto..percentual.,IN016_AE...Ìçndice.de.tratamento.de.esgoto..percentual.,IN021_AE...ExtensÌ£o.da.rede.de.esgoto.por.ligaÌ_Ì£o..m.lig.,IN024_AE...Ìçndice.de.atendimento.urbano.de.esgoto.referido.aos.municÌ_pios.atendidos.com.ÌÁgua..percentual.,indiceDeEsgotoTratadoReferidoAguaConsumidaPercentual,IN047_AE...Ìçndice.de.atendimento.urbano.de.esgoto.referido.aos.municÌ_pios.atendidos.com.esgoto..percentual.,IN056_AE...Ìçndice.de.atendimento.total.de.esgoto.referido.aos.municÌ_pios.atendidos.com.ÌÁgua..percentual.,IN059_AE...Ìçndice.de.consumo.de.energia.elÌ©trica.em.sistemas.de.esgotamento.sanitÌÁrio..kWh.m..,GEOCODIGO
220005,AcauÌ£,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22000540] PREFEITURA - SO,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2200053
220025,Alagoinha do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2200251
220027,Alegrete do PiauÌ_,PI,2015,[22002711] Prefeitura Municipal de Alegrete do PiauÌ_ - PMAPI; [22002740] Prefeitura Municipal de Alegrete do PiauÌ_ - PMAPI,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2200277
220045,Alvorada do GurguÌ©ia,PI,2015,[22004511] Prefeitura Municipal de Alvorada do GurguÌ©ia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2200459
220070,AnÌ_sio de Abreu,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2200707
220090,Aroazes,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2200905
220095,Aroeiras do Itaim,PI,2015,,,NA,NA,NA,NA,NA,NA,NA,NA,2200954
220105,AssunÌ_Ì£o do PiauÌ_,PI,2015,[22010511] Prefeitura Municipal de AssunÌ_Ì£o do PiauÌ_ - PMAP; [22010540] SECRETARIA DE ADMINISTRAÌàÌÄO E PLANEJAMENTO - SAPLAN,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2201051
220110,Avelino Lopes,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2201101
220155,Bela Vista do PiauÌ_,PI,2015,[22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM,Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2201556
220157,BelÌ©m do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2201572
220170,BertolÌ_nia,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2201705
220173,BetÌ¢nia do PiauÌ_,PI,2015,[22017340] Prefeitura Municipal de BetÌ¢nia do Piaui - PM,Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2201739
220180,Bocaina,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2201804
220190,Bom Jesus,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2201903
220192,Bonfim do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2201929
220198,Brejo do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22019840] Prefeitura Municipal de Brejo do PiauÌ_ - PMBP,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2201988
220202,Buriti dos Montes,PI,2015,[22020211] Prefeitura Municipal de Buriti dos Montes - PMBM; [22020240] Prefeitura Municipal de Buriti dos Montes - PMBM,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2202026
220207,Cajazeiras do PiauÌ_,PI,2015,,,NA,NA,NA,NA,NA,NA,NA,NA,2202075
220209,CaldeirÌ£o Grande do PiauÌ_,PI,2015,,,NA,NA,NA,NA,NA,NA,NA,NA,2202091
220210,Campinas do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2202109
220211,Campo Alegre do Fidalgo,PI,2015,,,NA,NA,NA,NA,NA,NA,NA,NA,2202117
220213,Campo Grande do PiauÌ_,PI,2015,[22021311] Prefeitura Municipal de Campo Grande do PiauÌ_ - PMCGP; [22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22021340] Prefeitura Municipal Campo Grande do PiauÌ_ - PM,ÌÅgua e Esgoto; ÌÅgua; Res SÌ_lidos,13.07,0,49.57,6.14,0,6.14,3.45,1.67,2202133
220225,Canavieira,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2202251
220230,Canto do Buriti,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22023040] PREFEITURA MUNICIPAL DE CANTO DO BURITI - PI,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2202307
220245,CapitÌ£o GervÌÁsio Oliveira,PI,2015,[22024511] Prefeitura Municipal de CapitÌ£o GervÌÁsio Oliveira - PMCGO; [22024540] PREFEITURA MUNICIPAL DE CAPITAO GERVASIO OLIVEIRA - PMCGO,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2202455
220250,Caracol,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2202505
220255,Caridade do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2202554
220260,Castelo do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22026040] PREFEITURA MUNICIPAL DE CASTELO DO PIAUI - PMC,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2202604
220275,ColÌ«nia do GurguÌ©ia,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2202752
220277,ColÌ«nia do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2202778
220280,ConceiÌ_Ì£o do CanindÌ©,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22028040] SECRETARIA DE OBRAS SANEAMENTO E ABASTECIMENTO - SOSA,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2202802
220285,Coronel JosÌ© Dias,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2202851
220310,Cristino Castro,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2203107
220320,CurimatÌÁ,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2203206
220323,Currais,PI,2015,,,NA,NA,NA,NA,NA,NA,NA,NA,2203230
220327,Curral Novo do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2203271
220335,Dirceu Arcoverde,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2203354
220340,Dom Expedito Lopes,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22034040] Prefeitura Municipal de Dom Expedito Lopes - PMDEL,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2203404
220342,Domingos MourÌ£o,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2203420
220345,Dom InocÌ»ncio,PI,2015,[22034540] Secretaria Municipal de Obras - SMO,Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2203453
220360,Eliseu Martins,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2203602
220375,Fartura do PiauÌ_,PI,2015,,,NA,NA,NA,NA,NA,NA,NA,NA,2203750
220380,Flores do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2203800
220385,Floresta do PiauÌ_,PI,2015,,,NA,NA,NA,NA,NA,NA,NA,NA,2203859
220415,Francisco Macedo,PI,2015,[22041540] Prefeitura Municipal de Francisco Macedo - PMFM,Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2204154
220420,Francisco Santos,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22042040] Prefeitura Municipal de Francisco Santos - PMFS,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2204204
220430,Fronteiras,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22043040] Prefeitura Municipal de Fronteiras - PMF,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2204303
220435,Geminiano,PI,2015,,,NA,NA,NA,NA,NA,NA,NA,NA,2204352
220455,Guaribas,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2204550
220470,Inhuma,PI,2015,[22047011] Prefeitura Municipal de Inhuma - PMI; [22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22047040] Prefeitura Municipal de Inhuma - PMI,Esgoto; ÌÅgua; Res SÌ_lidos,14.21,0,9.14,47.44,0,47.44,23.27,0,2204709
220480,Ipiranga do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22048040] Prefeitura Municipal de Ipiranga do PiauÌ_ - PMI,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2204808
220490,IsaÌ_as Coelho,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2204907
220500,ItainÌ_polis,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2205003
220510,Itaueira,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22051040] Prefeitura Municipal de Itaueira - PMI,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2205102
220515,Jacobina do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2205151
220520,JaicÌ_s,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2205201
220535,JoÌ£o Costa,PI,2015,[22053511] Prefeitura Municipal de JoÌ£o Costa - PMJC; [22053540] Prefeitura Municipal de JoÌ£o Costa - PMJC,ÌÅgua e Esgoto; Res SÌ_lidos,13.33,0,4.77,100,0,100,60.71,0,2205359
220551,Juazeiro do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22055140] Prefeitura Municipal de Juazeiro do Piaui - PMJPI,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2205516
220552,JÌ_lio Borges,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2205524
220553,Jurema,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2205532
220556,Lagoa do Barro do PiauÌ_,PI,2015,[22055640] Prefeitura Municipal Lagoa do Barro do PiauÌ_ - PMLBP,Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2205565
220557,Lagoa de SÌ£o Francisco,PI,2015,,,NA,NA,NA,NA,NA,NA,NA,NA,2205573
220559,Lagoa do SÌ_tio,PI,2015,,,NA,NA,NA,NA,NA,NA,NA,NA,2205599
220590,Manoel EmÌ_dio,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2205904
220595,MarcolÌ¢ndia,PI,2015,,,NA,NA,NA,NA,NA,NA,NA,NA,2205953
220605,MassapÌ» do PiauÌ_,PI,2015,,,NA,NA,NA,NA,NA,NA,NA,NA,2206050
